Year,Month,Tier,Name,Author name,Deck link,Deck list
2022,8,3,Naya Runes Aggro,Shunki Saito,https://www.mtgtop8.com/event?e=38039&d=484536&f=ST,"4 Branchloft Pathway
4 Cragcrown Pathway
1 Eiganjo, Seat of the Empire
1 Forest
1 Lair of the Hydra
4 Needleverge Pathway
4 Overgrown Farmland
2 Sundown Pass
4 Generous Visitor
4 Jukai Naturalist
4 Kami of Transience
1 Legion Angel
4 Runeforge Champion
1 Tamiyo's Safekeeping
1 Valorous Stance
4 Fable of the Mirror-Breaker
2 Michiko's Reign of Truth
4 Rune of Might
4 Rune of Speed
2 Rune of Sustenance
4 Showdown of the Skalds
Sideboard
3 Legion Angel
2 Tamiyo's Safekeeping
1 Valorous Stance
2 Borrowed Time
4 Circle of Confinement
1 Elite Spellbinder
2 Katilda, Dawnhart Martyr
"
2022,8,3,Grixis Aggro,Lukas Dusek,https://www.mtgtop8.com/event?e=38039&d=484535&f=ST,"3 Blightstep Pathway
3 Clearwater Pathway
4 Haunted Ridge
2 Hive of the Eye Tyrant
1 Mountain
1 Otawara, Soaring City
3 Riverglide Pathway
1 Shipwreck Marsh
2 Stormcarved Coast
1 Swamp
1 Takenuma, Abandoned Mire
4 Xander's Lounge
2 Bloodthirsty Adversary
4 Bloodtithe Harvester
4 Corpse Appraiser
2 Evelyn, the Covetous
2 Duress
2 Expressive Iteration
1 Hagra Mauling
2 Infernal Grasp
2 Make Disappear
1 Soul Transfer
4 Voltage Surge
4 Fable of the Mirror-Breaker
2 Kaito Shizuki
2 The Meathook Massacre
Sideboard
1 Evelyn, the Covetous
1 Duress
1 The Meathook Massacre
1 Annul
2 Disdainful Stroke
2 Go Blank
2 Prismari Command
2 Ray of Enfeeblement
2 Soul Shatter
1 Test of Talents
"
2022,8,3,Mono Green Aggro,_Shatun_,https://www.mtgtop8.com/event?e=38039&d=484537&f=ST,"1 Boseiju, Who Endures
2 Lair of the Hydra
21 Snow-Covered Forest
4 Ascendant Packleader
2 Jewel Thief
4 Old-Growth Troll
4 Sculptor of Winter
3 Ulvenwald Oddity
4 Werewolf Pack Leader
4 Blizzard Brawl
2 Invoke the Ancients
3 Snakeskin Veil
4 Esika's Chariot
2 Ranger Class
Sideboard
1 Snakeskin Veil
1 Ranger Class
2 Inscription of Abundance
2 Master's Rebuke
3 Outland Liberator
2 Reckoner Bankbuster
3 Tangletrap
1 Toski, Bearer of Secrets
"
2022,6,1,Esper Raffine,Eugene Nicolas p. Saño,https://www.mtgtop8.com/event?e=37029&d=478060&f=ST,"4 Brightclimb Pathway
4 Clearwater Pathway
2 Deserted Beach
1 Eiganjo, Seat of the Empire
4 Hengegate Pathway
1 Hive of the Eye Tyrant
1 Plains
4 Raffine's Tower
2 Shattered Sanctum
2 Shipwreck Marsh
1 Swamp
1 Legion Angel
4 Luminarch Aspirant
3 Obscura Interceptor
4 Raffine, Scheming Seer
4 Tenacious Underdog
1 Disdainful Stroke
1 Emeria's Call
2 Infernal Grasp
1 Make Disappear
1 Ray of Enfeeblement
2 Vanishing Verse
2 Kaito Shizuki
1 The Meathook Massacre
3 The Wandering Emperor
4 Wedding Announcement
Sideboard
3 Legion Angel
1 Disdainful Stroke
2 Ray of Enfeeblement
1 The Meathook Massacre
1 Archon of Emeria
1 Duress
1 Farewell
2 Go Blank
1 Negate
1 Portable Hole
1 Shadows' Verdict
"
2022,6,2,Naya Runes Aggro,ConnorW005,https://www.mtgtop8.com/event?e=37029&d=478062&f=ST,"3 Branchloft Pathway
4 Cragcrown Pathway
4 Forest
1 Mountain
4 Needleverge Pathway
3 Plains
4 Sundown Pass
4 Generous Visitor
4 Jukai Naturalist
2 Kami of Transience
4 Runeforge Champion
4 Michiko's Reign of Truth
4 Rune of Might
4 Rune of Speed
3 Rune of Sustenance
4 Showdown of the Skalds
4 The Restoration of Eiganjo
Sideboard
1 Brilliant Restoration
1 Charge Through
4 Circle of Confinement
2 Waking the Trolls
4 Wedding Announcement
2 Welcoming Vampire
1 Yasharn, Implacable Earth
"
2022,6,2,Jeskai Hinata,Gildeone Soares Vieira,https://www.mtgtop8.com/event?e=37029&d=478061&f=ST,"4 Deserted Beach
1 Hall of Storm Giants
3 Hengegate Pathway
1 Mountain
4 Needleverge Pathway
1 Otawara, Soaring City
4 Riverglide Pathway
4 Stormcarved Coast
4 Goldspan Dragon
4 Hinata, Dawn-Crowned
1 Disdainful Stroke
1 Dragon's Fire
4 Expressive Iteration
4 Jwari Disruption
4 Magma Opus
2 Make Disappear
2 Negate
1 Spell Pierce
2 Spikefield Hazard
1 Valorous Stance
2 Voltage Surge
4 Fable of the Mirror-Breaker
2 Reckoner Bankbuster
Sideboard
1 Disdainful Stroke
3 Dragon's Fire
1 Spell Pierce
1 Valorous Stance
1 Reckoner Bankbuster
1 Burn Down the House
4 Flame-Blessed Bolt
1 Seismic Wave
2 Test of Talents
"
2022,6,3,Weenie White,Idan Nadi,https://www.mtgtop8.com/event?e=37029&d=478063&f=ST,"3 Cave of the Frost Dragon
3 Eiganjo, Seat of the Empire
17 Plains
3 Adeline, Resplendent Cathar
2 Brutal Cathar
4 Elite Spellbinder
4 Hopeful Initiate
4 Intrepid Adversary
2 Legion Angel
4 Luminarch Aspirant
1 Reidane, God of the Worthy
3 Skyclave Apparition
1 Sungold Sentinel
3 Thalia, Guardian of Thraben
4 Usher of the Fallen
2 The Wandering Emperor
Sideboard
2 Brutal Cathar
2 Legion Angel
1 Reidane, God of the Worthy
1 Skyclave Apparition
2 The Wandering Emperor
2 Archon of Emeria
2 Circle of Confinement
3 Guardian of Faith
"
2022,6,3,Mono Green Aggro,Jose Fernando Calvo Mendez,https://www.mtgtop8.com/event?e=37029&d=478066&f=ST,"2 Boseiju, Who Endures
3 Lair of the Hydra
19 Snow-Covered Forest
4 Ascendant Packleader
4 Old-Growth Troll
4 Sculptor of Winter
3 Ulvenwald Oddity
4 Werewolf Pack Leader
4 Blizzard Brawl
2 Inscription of Abundance
3 Invoke the Ancients
1 Tamiyo's Safekeeping
4 Esika's Chariot
3 Ranger Class
Sideboard
1 Boseiju, Who Endures
1 Devouring Tendrils
2 Froghemoth
1 Masked Vandal
2 Master's Rebuke
3 Outland Liberator
2 Reckoner Bankbuster
3 Snakeskin Veil
"
2022,6,3,Izzet Control,Tanahashi Masayasu,https://www.mtgtop8.com/event?e=37029&d=478065&f=ST,"2 Field of Ruin
2 Hall of Storm Giants
5 Island
5 Mountain
1 Otawara, Soaring City
4 Riverglide Pathway
4 Stormcarved Coast
4 Goldspan Dragon
3 Hullbreaker Horror
2 Big Score
1 Burn Down the House
4 Dragon's Fire
4 Expressive Iteration
2 Fading Hope
1 Flame-Blessed Bolt
3 Jwari Disruption
2 Memory Deluge
2 Negate
1 Shatterskull Smashing
1 Spikefield Hazard
4 Fable of the Mirror-Breaker
1 Reckoner Bankbuster
2 The Celestus
Sideboard
1 Hullbreaker Horror
1 Burn Down the House
2 Flame-Blessed Bolt
1 Negate
1 Reckoner Bankbuster
1 Behold the Multiverse
2 Disdainful Stroke
1 Heated Debate
2 Make Disappear
2 Prismari Command
1 Seismic Wave
"
2022,6,3,Jund,mahzinha_linda,https://www.mtgtop8.com/event?e=37029&d=478064&f=ST,"4 Blightstep Pathway
1 Boseiju, Who Endures
3 Cragcrown Pathway
4 Darkbore Pathway
2 Deathcap Glade
1 Den of the Bugbear
2 Haunted Ridge
1 Hive of the Eye Tyrant
1 Mountain
1 Rockfall Vale
1 Swamp
1 Takenuma, Abandoned Mire
4 Ziatora's Proving Ground
4 Bloodtithe Harvester
4 Briarbridge Tracker
1 Tenacious Underdog
1 Valki, God of Lies
1 Duress
2 Infernal Grasp
3 Riveteers Charm
2 Unleash the Inferno
4 Voltage Surge
4 Esika's Chariot
4 Fable of the Mirror-Breaker
1 Lolth, Spider Queen
2 The Meathook Massacre
1 Wrenn and Seven
Sideboard
2 Duress
1 Riveteers Charm
1 Unleash the Inferno
1 Lolth, Spider Queen
1 The Meathook Massacre
1 Wrenn and Seven
1 Check for Traps
2 Ray of Enfeeblement
2 Reckoner Bankbuster
1 Sarulf, Realm Eater
2 Unlicensed Hearse
"
